,0,1,a,x,2,b,y,3,c,z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,cv,avg
0,1,0,0,0,0,0,0,0.25,3.0984,3.0984,130,2.75,211,2.75,124,2.75,217,2.75,218,2.76,123,2.76,,,,,6,2.753333333
50,51,0.5,7.8811,6.8250326,0,0,-3.94055,0.75,9.2952,9.2952,311,2.75,222,2.75,309,2.75,224,2.75,310,2.76,223,2.76,,,,,6,2.753333333
51,52,0.75,11.82165,10.2375489,0,0,-5.910825,0.75,9.2952,9.2952,313,2.75,224,2.75,311,2.75,226,2.75,312,2.76,225,2.76,112,3.1,,,7,2.802857143
49,50,0.25,3.94055,3.4125163,0,0,-1.970275,0.75,9.2952,9.2952,309,2.75,220,2.75,222,2.75,307,2.75,308,2.76,221,2.76,107,3.1,,,7,2.802857143
106,107,0.25,3.94055,3.4125163,0,0,-1.970275,0.5,6.1968,6.1968,213,2.75,220,2.75,222,2.75,211,2.75,308,2.75,125,2.75,2,3.1,50,3.1,8,2.8375
111,112,0.75,11.82165,10.2375489,0,0,-5.910825,0,0,0,313,2.75,128,2.75,311,2.75,130,2.75,216,2.75,225,2.75,4,3.1,52,3.1,8,2.8375
48,49,0,0,0,0,0,0,0.75,9.2952,9.2952,226,2.75,307,2.75,220,2.75,313,2.75,314,2.76,219,2.76,,,,,6,2.753333333
1,2,0.25,3.94055,3.4125163,0,0,-1.970275,0.25,3.0984,3.0984,213,2.75,124,2.75,126,2.75,211,2.75,212,2.76,125,2.76,107,3.1,,,7,2.802857143
2,3,0.5,7.8811,6.8250326,0,0,-3.94055,0.25,3.0984,3.0984,215,2.75,126,2.75,213,2.75,128,2.75,214,2.76,127,2.76,,,,,6,2.753333333
3,4,0.75,11.82165,10.2375489,0,0,-5.910825,0.25,3.0984,3.0984,217,2.75,128,2.75,215,2.75,130,2.75,216,2.76,129,2.76,112,3.1,,,7,2.802857143
7,8,0.75,11.82165,10.2375489,0.083,3.9247795,-1.9860455,0.25,3.0984,3.0984,129,2.75,128,2.75,136,2.75,138,2.75,127,2.75,137,2.76,97,3.1,117,3.1,8,2.83875
52,53,0,0,0,0.083,3.9247795,3.9247795,0.75,9.2952,9.2952,219,2.75,226,2.75,234,2.75,228,2.75,225,2.75,227,2.76,,,,,6,2.751666667
